wirein_ct,wireout_ct,avg_wire_amount,max_wire_amount,perc_wire_to_high_risk_country,perc_wire_from_high_risk_country,num_high_risk_counterparties,same_day_wire_ratio,suspicious_counterparty_score,txn_frequency,degree_centrality,betweenness_centrality,clustering_coefficient,cash_deposit_amt,cash_withdrawal_amt,kyc_flag,num_sar_filings,past_sar_flag,customer_age,account_tenure,txn_amount_std,num_large_cash_txns,international_txn_ratio,num_unusual_txn_patterns,num_new_accounts_opened,recent_address_change_flag,pep_flag,num_credit_card_txns,num_failed_login_attempts,recent_device_change_flag,risk_label
2,5,3742.6388871678682,9093.252762834083,0.049447436679347256,0.16553529269386602,2,0.37040882896605765,0.7294439883265498,5,0.059248452399727536,0.49772737647806786,0.7087323325648648,3972.3242353197006,7758.759337003952,0,0,1,73,5.798539517592827,344.6983006554316,0,0.14230092449924348,3,1,0,0,6,1,1,0
4,4,1315.6261499819836,2135.2220766618866,0.4170552362327056,0.3098397715276783,1,0.40965938117348233,0.11240471127794882,17,0.4012299996116918,0.2118865394499575,0.27320183167298207,5345.876097754207,8075.964075783438,0,0,0,47,17.669711528159652,285.3829764271117,3,0.6757634183621369,0,0,0,0,3,1,1,0
4,4,1910.154625057752,9197.15437458954,0.3150564966075994,0.6679337354557424,1,0.26091373718192246,0.7701116522302854,14,0.7108756275835424,0.002080639176285759,0.10747140396868127,7208.664658716713,9714.872856088916,0,0,1,19,5.052966521122704,161.3368107370422,0,0.830533348955763,0,0,1,0,2,2,1,0
2,7,2013.4072737723,8732.1732377611,0.44762387266552495,0.5993792222611017,1,0.2673297833745425,0.10959787033512702,7,0.5141881809210113,0.0933011783572536,0.653917788273347,8845.651791209482,5234.241259675274,1,2,0,30,18.83571455019134,149.79473340599898,1,0.2392312194599302,4,1,1,1,4,0,0,0
5,3,3672.784778924206,3311.484171103528,0.558134158128215,0.7123940284729217,2,0.3271966824152874,0.745751329984277,7,0.9965614195138568,0.7827348413570278,0.7960371548635623,4426.908149419479,9064.743045693329,1,0,0,23,8.453713384243184,396.9940667146595,2,0.5484989969501705,3,0,0,0,3,0,0,0
2,1,1641.39113453619,5941.749003118506,0.4482265821082245,0.2601159830153992,3,0.12528564571107392,0.8959344962919021,10,0.3191395155341933,0.5636586996350151,0.7689840001764066,8193.926505327578,9050.307622900982,1,0,1,58,2.5634999739685815,351.73212966978434,1,0.7722800957237569,3,0,0,1,7,0,1,0
4,2,3923.1716271975274,5748.620111548371,0.4182640809025757,0.7578581220721001,5,0.42239518014478084,0.4303926180160754,7,0.19253481772377334,0.36177753443873406,0.7380418050142062,4939.386817750652,4752.16268701129,0,0,0,70,18.671365024159602,427.8165448807217,0,0.5603856541861033,3,0,0,0,5,0,0,0
3,0,1268.0484588600516,3705.900765046697,0.7080237839979118,0.7554946570142149,3,0.0053037116851596955,0.39028910083933377,8,0.24032276849186684,0.2713690150250564,0.66526292432246,6055.240373663272,3372.075002669657,0,0,0,61,14.550828283114939,173.87506742096625,3,0.5311546224300754,3,1,0,1,5,1,1,0
2,7,2688.762326400022,1286.963156877329,0.5131415015132771,0.9436336706484948,2,0.12373386475066872,0.3021910269280519,19,0.7385498743701094,0.6613393083885826,0.3395700728052524,9217.297882484118,3627.7840779900794,1,0,1,65,19.163735859717377,194.09828072699617,1,0.6544314061468122,3,0,1,1,7,0,0,0
5,4,1427.3320097172887,6546.018264462577,0.9556213797813561,0.23190112176891486,5,0.3018009601106188,0.29352795416794963,18,0.36689566186537503,0.3049955183026858,0.06310522485867842,7315.981934387977,4148.662483273535,1,0,0,78,18.72467802393706,350.06984238034875,0,0.4780445945470483,1,1,0,0,5,3,0,0
